Date,GDP,PCEC,GDP_Implicit_Price_Deflator_inflation,CPI_less_food_and_energy,total_CPI,Investments,Inventories,Wilshire_5000_Full_Cap_Price_Index
1947-01-01,243.164,156.161,,,,35.854,92.806,
1947-04-01,245.968,160.031,5.8,,,34.505,93.945,
1947-07-01,249.585,163.543,6.9,,,34.911,99.3,
1947-10-01,259.745,167.672,10.2,,,43.25,106.731,
1948-01-01,265.742,170.372,3.2,,,47.202,103.061,
1948-04-01,272.567,174.142,3.6,,,50.336,104.567,
1948-07-01,279.196,177.072,7.6,,,52.516,103.667,
1948-10-01,280.366,177.928,1.2,,,51.334,101.501,
1949-01-01,275.034,176.831,-2.1,,,43.14,99.545,
1949-04-01,271.351,178.446,-3.9,,,36.241,94.95,
1949-07-01,272.889,177.806,-1.8,,,39.549,94.272,
1949-10-01,270.627,180.249,0.0,,,37.468,92.019,
1950-01-01,280.828,182.92,-0.6,,,46.749,93.68,
1950-04-01,290.383,186.806,1.3,,,52.291,96.943,
1950-07-01,308.153,200.505,9.0,,,58.641,103.294,
1950-10-01,319.945,197.946,7.7,,,68.441,114.046,
1951-01-01,336.0,209.207,15.3,,,64.582,122.444,
1951-04-01,344.09,204.942,2.7,,,67.383,123.571,
1951-07-01,351.385,207.616,0.2,,,61.981,124.788,
1951-10-01,356.178,211.59,4.7,,,57.084,127.458,
1952-01-01,359.82,212.969,-0.2,,,58.132,126.03,
1952-04-01,361.03,217.088,0.5,,,53.004,124.26,
1952-07-01,367.701,219.553,4.6,,,57.22,122.984,
1952-10-01,380.812,227.67,1.1,,,60.737,119.015,
1953-01-01,387.98,231.22,0.1,,,61.663,117.568,
1953-04-01,391.749,232.96,0.8,,,62.115,116.852,
1953-07-01,391.171,233.666,1.7,,,61.435,117.151,
1953-10-01,385.97,233.112,0.7,,,56.446,117.129,
1954-01-01,385.345,235.154,1.3,,,55.717,117.358,
1954-04-01,386.121,237.885,0.4,,,55.449,115.9,
1954-07-01,390.996,240.303,0.5,,,58.971,115.61,
1954-10-01,399.734,245.093,1.1,,,62.139,115.054,
1955-01-01,413.073,251.398,1.9,,,68.702,116.57,
1955-04-01,421.532,256.466,1.7,,,72.688,115.833,
1955-07-01,430.221,260.651,2.8,,,74.747,116.009,
1955-10-01,437.092,264.639,4.0,,,78.882,116.013,
1956-01-01,439.746,266.156,4.1,,,78.303,118.887,
1956-04-01,446.01,268.834,2.4,,,77.02,122.761,
1956-07-01,451.191,272.075,5.1,,,78.267,123.156,
1956-10-01,460.463,277.445,1.6,,,77.145,124.704,
1957-01-01,469.779,281.889,5.6,,,77.728,125.597,
1957-04-01,472.025,284.176,2.8,,,77.907,126.663,
1957-07-01,479.49,288.75,2.4,,,79.339,127.934,
1957-10-01,474.864,290.368,0.3,,,71.045,127.617,
1958-01-01,467.54,289.888,4.4,,,66.73,130.62,
1958-04-01,471.978,292.819,1.2,,,65.065,129.496,
1958-07-01,485.841,297.893,2.5,,,71.999,130.913,
1958-10-01,499.555,301.823,1.9,,,80.001,131.17,
1959-01-01,510.33,309.449,0.9,,,83.166,132.503,
1959-04-01,522.653,315.505,0.6,,,89.381,133.957,
1959-07-01,525.034,320.725,1.5,,,83.606,133.305,
1959-10-01,528.6,322.842,1.6,,,86.524,133.096,
1960-01-01,542.648,326.364,1.6,,,96.476,136.785,
1960-04-01,541.08,332.208,1.0,,,87.096,135.971,
1960-07-01,545.604,332.126,1.4,,,86.377,137.368,
1960-10-01,540.197,334.024,1.2,,,75.963,136.394,
1961-01-01,545.018,334.52,0.9,,,78.378,135.892,
1961-04-01,555.545,339.455,0.9,,,84.108,134.815,
1961-07-01,567.664,342.332,1.0,,,90.917,137.734,
1961-10-01,580.612,349.593,1.3,,,92.931,139.874,
1962-01-01,594.013,354.822,2.1,,,98.074,142.785,
1962-04-01,600.366,360.458,0.7,,,96.706,143.788,
1962-07-01,609.027,364.333,0.8,,,98.16,147.314,
1962-10-01,612.28,370.618,0.8,,,94.968,147.754,
1963-01-01,621.672,374.283,1.8,,,99.689,148.257,
1963-04-01,629.752,378.413,0.7,,,101.65,148.845,
1963-07-01,644.444,385.394,0.5,,,104.612,149.645,
1963-10-01,653.938,390.049,3.3,,,107.189,150.328,
1964-01-01,669.822,399.581,1.3,,,110.474,150.802,
1964-04-01,678.674,407.536,0.9,,,110.518,151.219,
1964-07-01,692.031,416.422,1.6,,,112.631,153.571,
1964-10-01,697.319,418.987,1.8,,,114.984,155.122,
1965-01-01,717.79,429.711,2.0,,,126.542,159.433,
1965-04-01,730.191,436.642,1.8,,,127.052,163.626,
1965-07-01,749.323,445.804,1.6,,,131.237,164.969,
1965-10-01,771.857,459.736,2.8,,,133.752,169.742,
1966-01-01,795.734,470.136,2.6,,,144.2,175.198,
1966-04-01,804.981,475.189,3.3,,,143.501,179.542,
1966-07-01,819.638,484.291,3.9,,,143.194,184.036,
1966-10-01,833.302,490.06,3.4,,,145.855,186.137,
1967-01-01,844.17,494.317,1.7,,0.1993333333333333,142.811,188.049,
1967-04-01,848.983,503.458,2.1,,0.2987033333333333,137.495,190.426,
1967-07-01,865.233,510.717,3.9,,0.2903033333333333,142.835,192.31,
1967-10-01,881.439,518.249,4.5,,0.35805,147.653,194.993,
1968-01-01,909.387,536.297,4.5,3.83122246,0.42356,152.288,199.455,
1968-04-01,934.344,550.014,4.3,4.273576248666666,0.4192866666666666,158.943,203.6,
1968-07-01,950.825,566.122,4.0,4.896134933333332,0.4089166666666666,155.683,205.833,
1968-10-01,968.03,574.977,5.8,5.446055225333333,0.5739633333333333,160.76,208.12,
1969-01-01,993.337,587.005,4.2,5.892765859333333,0.52872,172.388,213.725,
1969-04-01,1009.02,598.337,5.2,6.571965996,0.5049966666666666,172.721,218.816,
1969-07-01,1029.956,608.626,5.7,6.562047657333332,0.5519366666666666,177.564,222.542,
